size,tr5,tr10,tr15,tr20,tr25,tr30,tr40,tr50
100,206,355,614,1231,2270,4880,11315,26176
250,476,767,1139,1822,3065,5296,12403,28076
500,903,1401,2105,2930,4414,6616,14251,30909
1000,1709,2807,3839,5178,7049,10024,19217,35269
2500,4546,6800,9644,12237,15055,19129,31390,50911
5000,5827,13239,17941,22649,30911,35016,51391,76801
10000,6279,26733,37298,44961,56125,70954,94124,129600
