size,tr5,tr10,tr15,tr20,tr25,tr30,tr40,tr50
100,211,354,514,974,1464,2340,6012,13622
250,435,706,1026,1541,2263,3414,8210,15249
500,878,1378,1965,2592,3605,5093,9480,17625
1000,1854,3189,3798,4938,6308,7940,13498,22937
2500,4925,6809,9738,11338,13903,17178,25952,38842
5000,9234,13033,17179,22153,28680,32102,46753,63848
10000,17553,26626,35471,44369,55216,63295,87524,119219
