size,tr5,tr10,tr15,tr20,tr25,tr30,tr40,tr50
100,371,766,1212,1815,2994,4869,11266,24774
250,830,1460,2218,3376,4872,7279,14702,29654
500,1620,3009,4238,5801,7977,10988,20594,35451
1000,3205,5517,7926,11556,14411,18582,31161,50404
2500,8196,13985,19573,26030,34145,43596,63619,93140
5000,15843,27502,38380,52571,66998,81947,118935,165495
10000,32871,54582,77288,104437,130795,164602,231095,313231
