size,tr5,tr10,tr15,tr20,tr25,tr30,tr40,tr50
100,205,471,591,1020,1827,3305,8854,19736
250,501,747,1097,1684,2576,4153,10092,20684
500,931,1390,1922,2791,3980,6540,12155,23461
1000,1815,2747,3754,5013,6624,9455,16219,28482
2500,4480,6737,9739,11514,14744,19023,29026,43771
5000,9290,13916,17265,22534,29473,33634,48676,69403
10000,15631,27050,35211,45046,56483,66557,95608,121649
