size,tr20,tr25,tr30,tr40,tr50
100,1367,1837,2817,6086,13151
250,2711,3606,4820,8858,16891
500,5053,6784,8244,13121,22481
1000,9537,12034,15420,23272,33473
2500,23868,30490,36508,50714,70156
5000,47598,58147,69999,99825,130378
10000,97522,119344,147076,194979,248051
