size,tr5,tr10,tr15,tr20,tr25,tr30,tr40,tr50
100,379,807,1162,2073,3525,5834,14577,32694
250,853,1506,2350,3569,5554,8688,18140,36229
500,1659,2908,4258,6033,8732,12967,23141,44120
1000,3427,5615,8067,11233,15120,20378,34257,59130
2500,7997,13555,20229,26734,35954,43545,69833,103357
5000,15863,27689,39266,52503,67586,84348,124888,173827
10000,32769,54713,81196,105340,133491,167702,240205,328503
