size,tr5,tr10,tr15,tr20,tr25,tr30,tr40,tr50
100,212,306,510,664,1109,1825,3885,7473
250,518,893,1021,1316,1801,2610,4928,8816
500,893,1363,2106,2401,3535,4305,7339,11312
1000,1766,2613,3790,4538,5697,6946,11153,17463
2500,4430,7095,8826,11146,14278,17194,24200,31184
5000,9979,13103,17460,22097,27953,32603,45131,58964
10000,19606,26349,34690,46356,53872,63976,83992,112688
