size,tr5,tr10,tr15,tr20,tr25,tr30,tr40,tr50
100,363,626,845,1184,1715,2316,4996,8712
250,878,1422,2077,3124,3543,4447,7594,11973
500,1757,2563,3908,4842,6175,7932,12462,17726
1000,3117,5082,7430,9657,12137,15015,21200,28963
2500,8706,12879,18855,24054,29283,34936,49522,65412
5000,15442,25654,36427,48753,60290,69546,95086,121258
10000,31152,52963,75540,97554,119470,145047,197751,246470
