size,tr5,tr10,tr15,tr20,tr25,tr30,tr40,tr50
100,352,632,920,1313,1929,2674,5545,9710
250,870,1473,2043,2824,3786,4991,9406,13978
500,1752,2791,4128,5652,7669,9201,13683,21424
1000,3265,5363,7832,10149,13488,16941,24328,35547
2500,7860,13852,19041,26104,32376,39539,55880,76034
5000,16154,27792,38314,51289,64116,78404,111161,146215
10000,33083,56651,77119,100416,127922,160067,223490,290698
