size,tr5,tr10,tr15,tr20,tr25,tr30,tr40,tr50
100,463,741,1068,1586,2134,3158,7195,15160
250,796,1425,2015,3044,3770,5128,9939,19389
500,1536,2580,3765,5078,6761,8470,14457,25695
1000,3188,5314,7531,9662,12480,16087,23845,37210
2500,7705,13129,17839,24023,29738,36322,52304,73045
5000,15786,25753,36449,46394,59355,71160,96926,129304
10000,31458,51695,73121,93804,119403,139415,193067,246370
