size,tr5,tr10,tr15,tr20,tr25,tr30,tr40,tr50
100,367,622,1183,1739,2946,4860,12368,28609
250,816,1419,2114,3157,4816,7103,15192,32082
500,1576,2673,3955,5774,7634,10418,20438,37230
1000,3180,5239,7614,10573,13318,17134,29061,49980
2500,7864,13312,18449,24191,31010,37680,57049,86881
5000,16113,26186,37079,47081,60357,72824,105143,142351
10000,31559,52871,76021,94981,119407,146473,196851,266966
