size,tr5,tr10,tr15,tr20,tr25,tr30,tr40,tr50
100,355,619,1062,1673,2354,3685,8305,17196
250,819,1488,2172,3025,4378,5845,12183,21632
500,1633,2828,4048,5631,7516,9790,17445,28691
1000,3263,5569,7803,11317,13924,17737,28184,43738
2500,7805,13678,19561,25417,33622,42098,60079,86169
5000,15431,26704,40145,51711,65478,79691,114233,157126
10000,33874,52803,77445,103335,129498,161357,231334,304124
