size,tr20,tr25,tr30,tr40,tr50
100,2458,3372,5618,14028,29456
250,3862,5633,8149,16324,33835
500,6673,10798,12095,22592,40575
1000,12578,16086,20313,33597,54182
2500,28958,37091,46497,66502,97407
5000,58511,72002,87614,122498,166096
10000,115437,142926,176289,237814,311673
