size,tr20,tr25,tr30,tr40,tr50
100,2646,4170,6235,15667,33100
250,4600,6704,9290,22961,37862
500,7700,10835,14099,25328,46571
1000,13945,18132,24715,37467,62340
2500,33916,42073,53740,77208,111132
5000,68725,84842,102838,145038,196413
10000,137773,171124,203239,280057,363037
